Eurovision Song Contest 2015 Second Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Norway,Cyprus,10,6,4,7,3,5,7,5,6
Norway,Slovenia,3,7,6,13,5,7,8,7,4
Norway,Poland,8,14,11,9,12,12,3,6,5
Poland,Lithuania,13,13,16,16,11,14,9,12,"
"
Poland,Ireland,8,6,15,11,8,10,12,11,"
"
Poland,San Marino,16,14,12,15,16,16,15,16,"
"
Poland,Montenegro,14,16,11,13,15,15,13,14,"
"
Poland,Malta,15,15,3,14,5,12,16,15,"
"
Poland,Norway,1,4,8,3,3,3,6,5,6
Poland,Portugal,11,9,13,10,12,13,14,13,"
"
Poland,Czech Republic,3,2,7,7,6,4,2,3,8
Poland,Israel,7,1,2,4,4,2,3,2,10
Poland,Latvia,9,8,1,6,2,5,4,4,7
Poland,Azerbaijan,6,3,9,8,10,6,8,8,3
Poland,Iceland,10,10,10,9,7,9,11,9,2
Poland,Sweden,2,7,4,2,1,1,1,1,12
Poland,Switzerland,12,12,5,12,9,11,10,10,1
Poland,Cyprus,4,5,14,1,14,7,7,7,4
Poland,Slovenia,5,11,6,5,13,8,5,6,5
Portugal,Lithuania,15,15,14,14,15,15,7,12,"
"
Portugal,Ireland,9,13,8,7,14,12,14,15,"
"
Portugal,San Marino,16,16,16,16,16,16,16,16,"
"
Portugal,Montenegro,10,6,5,6,8,5,9,6,5
Portugal,Malta,6,5,13,5,7,6,13,11,"
"
Portugal,Norway,2,3,2,3,3,2,5,3,8
Portugal,Czech Republic,12,2,12,10,6,9,10,10,1
Portugal,Israel,4,7,3,1,2,3,1,2,10
Portugal,Latvia,3,9,10,4,12,8,4,4,7
Portugal,Azerbaijan,11,4,6,12,5,7,11,8,3
Portugal,Iceland,5,12,7,11,11,10,15,14,"
"
Portugal,Sweden,1,1,1,2,1,1,2,1,12
Portugal,Switzerland,14,14,15,13,10,14,8,13,"
"
Portugal,Cyprus,8,10,11,9,9,11,3,5,6
Portugal,Slovenia,7,11,4,8,4,4,12,7,4
Portugal,Poland,13,8,9,15,13,13,6,9,2
San Marino,Lithuania,15,7,7,7,10,8,"
",8,3
San Marino,Ireland,7,14,9,5,5,6,"
",6,5
San Marino,Montenegro,6,6,8,16,14,11,"
",11,"
"
San Marino,Malta,5,1,10,4,4,4,"
",4,7
San Marino,Norway,4,3,11,3,3,3,"
",3,8
San Marino,Portugal,14,9,16,15,15,16,"
",16,"
"
San Marino,Czech Republic,9,10,5,8,13,7,"
",7,4
San Marino,Israel,2,5,1,13,6,5,"
",5,6
San Marino,Latvia,3,2,6,2,1,2,"
",2,10
San Marino,Azerbaijan,12,13,4,14,9,12,"
",12,"
"
San Marino,Iceland,16,12,14,11,11,15,"
",15,"
"
San Marino,Sweden,1,4,2,1,2,1,"
",1,12
San Marino,Switzerland,11,8,13,12,12,13,"
",13,"
"
San Marino,Cyprus,8,16,12,6,7,9,"
",9,2
San Marino,Slovenia,13,15,3,10,8,10,"
",10,1
San Marino,Poland,10,11,15,9,16,14,"
",14,"
"
Slovenia,Lithuania,16,6,15,13,11,14,9,11,"
"
Slovenia,Ireland,5,10,14,7,5,7,14,10,1
Slovenia,San Marino,14,16,16,15,16,16,15,16,"
"
Slovenia,Montenegro,11,8,4,8,4,6,1,2,10
Slovenia,Malta,8,15,6,2,13,8,16,14,"
"
Slovenia,Norway,4,3,3,6,2,3,6,5,6
Slovenia,Portugal,3,9,8,4,6,4,11,7,4
Slovenia,Czech Republic,6,11,5,14,12,11,7,8,3
Slovenia,Israel,7,7,10,16,7,9,4,6,5
Slovenia,Latvia,2,2,2,5,1,2,5,3,8
Slovenia,Azerbaijan,9,5,9,9,15,10,13,13,"
"
Slovenia,Iceland,15,13,12,11,14,15,12,15,"
"
Slovenia,Sweden,1,1,1,3,3,1,2,1,12
